Municipality|Ward_Name|Ward_Number|Contest|Candidate|Votes
V. Pleasant Prairie|Wards 12-14|12-14|DEM District Attorney|Carli McNeill|298
V. Pleasant Prairie|Wards 12-14|12-14|DEM District Attorney|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|DEM County Clerk|Regi Waligora|292
V. Pleasant Prairie|Wards 12-14|12-14|DEM County Clerk|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|DEM County Treasurer|Teri Jacobson|296
V. Pleasant Prairie|Wards 12-14|12-14|DEM County Treasurer|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|DEM Register of Deeds|Jennifer Mack|294
V. Pleasant Prairie|Wards 12-14|12-14|DEM Register of Deeds|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|REP United States Senator|Eric Hovde|252
V. Pleasant Prairie|Wards 12-14|12-14|REP United States Senator|Rejani Raveendran|17
V. Pleasant Prairie|Wards 12-14|12-14|REP United States Senator|Charles E. Barman|12
V. Pleasant Prairie|Wards 12-14|12-14|REP United States Senator|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|REP Representative in Congress|Bryan Steil|264
V. Pleasant Prairie|Wards 12-14|12-14|REP Representative in Congress|Write-In|3
V. Pleasant Prairie|Wards 12-14|12-14|REP State Senator District 22|Write-In|7
V. Pleasant Prairie|Wards 12-14|12-14|REP Representative to the Assembly District 65|Brian Gonzales|232
V. Pleasant Prairie|Wards 12-14|12-14|REP Representative to the Assembly District 65|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|REP District Attorney|Xavier Solis|221
V. Pleasant Prairie|Wards 12-14|12-14|REP District Attorney|Write-In|1
V. Pleasant Prairie|Wards 12-14|12-14|REP County Clerk|Write-In|5
V. Pleasant Prairie|Wards 12-14|12-14|REP County Treasurer|Write-In|4
V. Pleasant Prairie|Wards 12-14|12-14|REP Register of Deeds|Write-In|4
V. Pleasant Prairie|Wards 12-14|12-14|CON United States Senator|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|CON Representative in Congress|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|CON State Senator District 22|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|CON Representative to the Assembly District 65|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|CON District Attorney|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|CON County Clerk|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|CON County Treasurer|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|CON Register of Deeds|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|LIB United States Senator|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|LIB Representative in Congress|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|LIB State Senator District 22|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|LIB Representative to the Assembly District 65|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|LIB District Attorney|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|LIB County Clerk|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|LIB County Treasurer|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|LIB Register of Deeds|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|GRN United States Senator|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|GRN Representative in Congress|Chester Todd, Jr.|0
V. Pleasant Prairie|Wards 12-14|12-14|GRN Representative in Congress|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|GRN State Senator District 22|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|GRN Representative to the Assembly District 65|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|GRN District Attorney|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|GRN County Clerk|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|GRN County Treasurer|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|GRN Register of Deeds|Write-In|0
V. Pleasant Prairie|Wards 12-14|12-14|State Referendum - Question 1|No|309
V. Pleasant Prairie|Wards 12-14|12-14|State Referendum - Question 1|Yes|276
V. Pleasant Prairie|Wards 12-14|12-14|State Referendum - Question 2|No|314
V. Pleasant Prairie|Wards 12-14|12-14|State Referendum - Question 2|Yes|273
V. Pleasant Prairie|Wards 15,16|15,16|Party Preference Section|Democratic|161
V. Pleasant Prairie|Wards 15,16|15,16|Party Preference Section|Republican|127
V. Pleasant Prairie|Wards 15,16|15,16|Party Preference Section|Constitution|0
V. Pleasant Prairie|Wards 15,16|15,16|Party Preference Section|Libertarian|0
V. Pleasant Prairie|Wards 15,16|15,16|Party Preference Section|Wisconsin Green|0
V. Pleasant Prairie|Wards 15,16|15,16|DEM United States Senator|Tammy Baldwin|155
V. Pleasant Prairie|Wards 15,16|15,16|DEM United States Senator|Write-In|1
V. Pleasant Prairie|Wards 15,16|15,16|DEM Representative in Congress|Peter Barca|150
V. Pleasant Prairie|Wards 15,16|15,16|DEM Representative in Congress|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|DEM Representative to the Assembly District 32|Michael Dhindsa|142
V. Pleasant Prairie|Wards 15,16|15,16|DEM Representative to the Assembly District 32|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|DEM District Attorney|Carli McNeill|142
V. Pleasant Prairie|Wards 15,16|15,16|DEM District Attorney|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|DEM County Clerk|Regi Waligora|142
V. Pleasant Prairie|Wards 15,16|15,16|DEM County Clerk|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|DEM County Treasurer|Teri Jacobson|144
V. Pleasant Prairie|Wards 15,16|15,16|DEM County Treasurer|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|DEM Register of Deeds|Jennifer Mack|143
V. Pleasant Prairie|Wards 15,16|15,16|DEM Register of Deeds|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|REP United States Senator|Eric Hovde|118
V. Pleasant Prairie|Wards 15,16|15,16|REP United States Senator|Rejani Raveendran|9
V. Pleasant Prairie|Wards 15,16|15,16|REP United States Senator|Charles E. Barman|7
V. Pleasant Prairie|Wards 15,16|15,16|REP United States Senator|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|REP Representative in Congress|Bryan Steil|121
V. Pleasant Prairie|Wards 15,16|15,16|REP Representative in Congress|Write-In|4
V. Pleasant Prairie|Wards 15,16|15,16|REP Representative to the Assembly District 32|Amanda Nedweski|112
V. Pleasant Prairie|Wards 15,16|15,16|REP Representative to the Assembly District 32|Write-In|5
V. Pleasant Prairie|Wards 15,16|15,16|REP District Attorney|Xavier Solis|107
V. Pleasant Prairie|Wards 15,16|15,16|REP District Attorney|Write-In|1
V. Pleasant Prairie|Wards 15,16|15,16|REP County Clerk|Write-In|3
V. Pleasant Prairie|Wards 15,16|15,16|REP County Treasurer|Write-In|2
V. Pleasant Prairie|Wards 15,16|15,16|REP Register of Deeds|Write-In|2
V. Pleasant Prairie|Wards 15,16|15,16|CON United States Senator|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|CON Representative in Congress|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|CON Representative to the Assembly District 32|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|CON District Attorney|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|CON County Clerk|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|CON County Treasurer|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|CON Register of Deeds|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|LIB United States Senator|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|LIB Representative in Congress|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|LIB Representative to the Assembly District 32|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|LIB District Attorney|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|LIB County Clerk|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|LIB County Treasurer|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|LIB Register of Deeds|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|GRN United States Senator|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|GRN Representative in Congress|Chester Todd, Jr.|0
V. Pleasant Prairie|Wards 15,16|15,16|GRN Representative in Congress|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|GRN Representative to the Assembly District 32|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|GRN District Attorney|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|GRN County Clerk|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|GRN County Treasurer|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|GRN Register of Deeds|Write-In|0
V. Pleasant Prairie|Wards 15,16|15,16|State Referendum - Question 1|No|171
V. Pleasant Prairie|Wards 15,16|15,16|State Referendum - Question 1|Yes|123
V. Pleasant Prairie|Wards 15,16|15,16|State Referendum - Question 2|No|167
V. Pleasant Prairie|Wards 15,16|15,16|State Referendum - Question 2|Yes|127
V. Salem Lakes|Wards 1-6|1-6|Party Preference Section|Republican|549
V. Salem Lakes|Wards 1-6|1-6|Party Preference Section|Democratic|405
V. Salem Lakes|Wards 1-6|1-6|Party Preference Section|Libertarian|2
V. Salem Lakes|Wards 1-6|1-6|Party Preference Section|Wisconsin Green|2
V. Salem Lakes|Wards 1-6|1-6|Party Preference Section|Constitution|1
V. Salem Lakes|Wards 1-6|1-6|DEM United States Senator|Tammy Baldwin|409
V. Salem Lakes|Wards 1-6|1-6|DEM United States Senator|Write-In|1
V. Salem Lakes|Wards 1-6|1-6|DEM Representative in Congress|Peter Barca|398
V. Salem Lakes|Wards 1-6|1-6|DEM Representative in Congress|Write-In|1
V. Salem Lakes|Wards 1-6|1-6|DEM Representative to the Assembly District 32|Michael Dhindsa|380
V. Salem Lakes|Wards 1-6|1-6|DEM Representative to the Assembly District 32|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|DEM District Attorney|Carli McNeill|384
V. Salem Lakes|Wards 1-6|1-6|DEM District Attorney|Write-In|2
V. Salem Lakes|Wards 1-6|1-6|DEM County Clerk|Regi Waligora|384
V. Salem Lakes|Wards 1-6|1-6|DEM County Clerk|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|DEM County Treasurer|Teri Jacobson|388
V. Salem Lakes|Wards 1-6|1-6|DEM County Treasurer|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|DEM Register of Deeds|Jennifer Mack|383
V. Salem Lakes|Wards 1-6|1-6|DEM Register of Deeds|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|REP United States Senator|Eric Hovde|487
V. Salem Lakes|Wards 1-6|1-6|REP United States Senator|Charles E. Barman|45
V. Salem Lakes|Wards 1-6|1-6|REP United States Senator|Rejani Raveendran|18
V. Salem Lakes|Wards 1-6|1-6|REP United States Senator|Write-In|2
V. Salem Lakes|Wards 1-6|1-6|REP Representative in Congress|Bryan Steil|531
V. Salem Lakes|Wards 1-6|1-6|REP Representative in Congress|Write-In|3
V. Salem Lakes|Wards 1-6|1-6|REP Representative to the Assembly District 32|Amanda Nedweski|515
V. Salem Lakes|Wards 1-6|1-6|REP Representative to the Assembly District 32|Write-In|2
V. Salem Lakes|Wards 1-6|1-6|REP District Attorney|Xavier Solis|491
V. Salem Lakes|Wards 1-6|1-6|REP District Attorney|Write-In|4
V. Salem Lakes|Wards 1-6|1-6|REP County Clerk|Write-In|19
V. Salem Lakes|Wards 1-6|1-6|REP County Treasurer|Write-In|15
V. Salem Lakes|Wards 1-6|1-6|REP Register of Deeds|Write-In|12
V. Salem Lakes|Wards 1-6|1-6|CON United States Senator|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|CON Representative in Congress|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|CON Representative to the Assembly District 32|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|CON District Attorney|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|CON County Clerk|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|CON County Treasurer|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|CON Register of Deeds|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|LIB United States Senator|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|LIB Representative in Congress|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|LIB Representative to the Assembly District 32|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|LIB District Attorney|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|LIB County Clerk|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|LIB County Treasurer|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|LIB Register of Deeds|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|GRN United States Senator|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|GRN Representative in Congress|Chester Todd, Jr.|2
V. Salem Lakes|Wards 1-6|1-6|GRN Representative in Congress|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|GRN Representative to the Assembly District 32|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|GRN District Attorney|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|GRN County Clerk|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|GRN County Treasurer|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|GRN Register of Deeds|Write-In|0
V. Salem Lakes|Wards 1-6|1-6|State Referendum - Question 1|Yes|551
V. Salem Lakes|Wards 1-6|1-6|State Referendum - Question 1|No|443
V. Salem Lakes|Wards 1-6|1-6|State Referendum - Question 2|Yes|553
V. Salem Lakes|Wards 1-6|1-6|State Referendum - Question 2|No|439
V. Salem Lakes|Wards 7-10|7-10|Party Preference Section|Republican|416
V. Salem Lakes|Wards 7-10|7-10|Party Preference Section|Democratic|302
V. Salem Lakes|Wards 7-10|7-10|Party Preference Section|Wisconsin Green|3
V. Salem Lakes|Wards 7-10|7-10|Party Preference Section|Constitution|1
V. Salem Lakes|Wards 7-10|7-10|Party Preference Section|Libertarian|1
V. Salem Lakes|Wards 7-10|7-10|DEM United States Senator|Tammy Baldwin|298
V. Salem Lakes|Wards 7-10|7-10|DEM United States Senator|Write-In|1
V. Salem Lakes|Wards 7-10|7-10|DEM Representative in Congress|Peter Barca|288
V. Salem Lakes|Wards 7-10|7-10|DEM Representative in Congress|Write-In|1
V. Salem Lakes|Wards 7-10|7-10|DEM Representative to the Assembly District 32|Michael Dhindsa|284
V. Salem Lakes|Wards 7-10|7-10|DEM Representative to the Assembly District 32|Write-In|2
V. Salem Lakes|Wards 7-10|7-10|DEM District Attorney|Carli McNeill|284
V. Salem Lakes|Wards 7-10|7-10|DEM District Attorney|Write-In|1
V. Salem Lakes|Wards 7-10|7-10|DEM County Clerk|Regi Waligora|282
V. Salem Lakes|Wards 7-10|7-10|DEM County Clerk|Write-In|1
V. Salem Lakes|Wards 7-10|7-10|DEM County Treasurer|Teri Jacobson|279
V. Salem Lakes|Wards 7-10|7-10|DEM County Treasurer|Write-In|2
V. Salem Lakes|Wards 7-10|7-10|DEM Register of Deeds|Jennifer Mack|278
V. Salem Lakes|Wards 7-10|7-10|DEM Register of Deeds|Write-In|2
V. Salem Lakes|Wards 7-10|7-10|REP United States Senator|Eric Hovde|372
V. Salem Lakes|Wards 7-10|7-10|REP United States Senator|Charles E. Barman|37
V. Salem Lakes|Wards 7-10|7-10|REP United States Senator|Rejani Raveendran|9
V. Salem Lakes|Wards 7-10|7-10|REP United States Senator|Write-In|0
V. Salem Lakes|Wards 7-10|7-10|REP Representative in Congress|Bryan Steil|404
V. Salem Lakes|Wards 7-10|7-10|REP Representative in Congress|Write-In|2
V. Salem Lakes|Wards 7-10|7-10|REP Representative to the Assembly District 32|Amanda Nedweski|397
V. Salem Lakes|Wards 7-10|7-10|REP Representative to the Assembly District 32|Write-In|3
V. Salem Lakes|Wards 7-10|7-10|REP District Attorney|Xavier Solis|380
V. Salem Lakes|Wards 7-10|7-10|REP District Attorney|Write-In|1
V. Salem Lakes|Wards 7-10|7-10|REP County Clerk|Write-In|21
V. Salem Lakes|Wards 7-10|7-10|REP County Treasurer|Write-In|21
V. Salem Lakes|Wards 7-10|7-10|REP Register of Deeds|Write-In|23
V. Salem Lakes|Wards 7-10|7-10|CON United States Senator|Write-In|0
V. Salem Lakes|Wards 7-10|7-10|CON Representative in Congress|Write-In|0
V. Salem Lakes|Wards 7-10|7-10|CON Representative to the Assembly District 32|Write-In|0
V. Salem Lakes|Wards 7-10|7-10|CON District Attorney|Write-In|0
V. Salem Lakes|Wards 7-10|7-10|CON County Clerk|Write-In|0
V. Salem Lakes|Wards 7-10|7-10|CON County Treasurer|Write-In|0
V. Salem Lakes|Wards 7-10|7-10|CON Register of Deeds|Write-In|0
V. Salem Lakes|Wards 7-10|7-10|LIB United States Senator|Write-In|0
V. Salem Lakes|Wards 7-10|7-10|LIB Representative in Congress|Write-In|0
V. Salem Lakes|Wards 7-10|7-10|LIB Representative to the Assembly District 32|Write-In|0
V. Salem Lakes|Wards 7-10|7-10|LIB District Attorney|Write-In|0
V. Salem Lakes|Wards 7-10|7-10|LIB County Clerk|Write-In|0
V. Salem Lakes|Wards 7-10|7-10|LIB County Treasurer|Write-In|0
V. Salem Lakes|Wards 7-10|7-10|LIB Register of Deeds|Write-In|0
V. Salem Lakes|Wards 7-10|7-10|GRN United States Senator|Write-In|2
V. Salem Lakes|Wards 7-10|7-10|GRN Representative in Congress|Chester Todd, Jr.|2
V. Salem Lakes|Wards 7-10|7-10|GRN Representative in Congress|Write-In|1
V. Salem Lakes|Wards 7-10|7-10|GRN Representative to the Assembly District 32|Write-In|2
V. Salem Lakes|Wards 7-10|7-10|GRN District Attorney|Write-In|2
V. Salem Lakes|Wards 7-10|7-10|GRN County Clerk|Write-In|2
V. Salem Lakes|Wards 7-10|7-10|GRN County Treasurer|Write-In|2
V. Salem Lakes|Wards 7-10|7-10|GRN Register of Deeds|Write-In|2
V. Salem Lakes|Wards 7-10|7-10|State Referendum - Question 1|Yes|405
V. Salem Lakes|Wards 7-10|7-10|State Referendum - Question 1|No|324
V. Salem Lakes|Wards 7-10|7-10|State Referendum - Question 2|Yes|407
V. Salem Lakes|Wards 7-10|7-10|State Referendum - Question 2|No|324
V. Salem Lakes|Wards 11-13|11-13|Party Preference Section|Republican|232
V. Salem Lakes|Wards 11-13|11-13|Party Preference Section|Democratic|172
V. Salem Lakes|Wards 11-13|11-13|Party Preference Section|Libertarian|1
V. Salem Lakes|Wards 11-13|11-13|Party Preference Section|Wisconsin Green|0
V. Salem Lakes|Wards 11-13|11-13|Party Preference Section|Constitution|0
V. Salem Lakes|Wards 11-13|11-13|DEM United States Senator|Tammy Baldwin|177
V. Salem Lakes|Wards 11-13|11-13|DEM United States Senator|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|DEM Representative in Congress|Peter Barca|169
V. Salem Lakes|Wards 11-13|11-13|DEM Representative in Congress|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|DEM Representative to the Assembly District 32|Michael Dhindsa|164
V. Salem Lakes|Wards 11-13|11-13|DEM Representative to the Assembly District 32|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|DEM District Attorney|Carli McNeill|160
V. Salem Lakes|Wards 11-13|11-13|DEM District Attorney|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|DEM County Clerk|Regi Waligora|159
V. Salem Lakes|Wards 11-13|11-13|DEM County Clerk|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|DEM County Treasurer|Teri Jacobson|163
V. Salem Lakes|Wards 11-13|11-13|DEM County Treasurer|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|DEM Register of Deeds|Jennifer Mack|160
V. Salem Lakes|Wards 11-13|11-13|DEM Register of Deeds|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|REP United States Senator|Eric Hovde|207
V. Salem Lakes|Wards 11-13|11-13|REP United States Senator|Charles E. Barman|24
V. Salem Lakes|Wards 11-13|11-13|REP United States Senator|Rejani Raveendran|7
V. Salem Lakes|Wards 11-13|11-13|REP United States Senator|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|REP Representative in Congress|Bryan Steil|221
V. Salem Lakes|Wards 11-13|11-13|REP Representative in Congress|Write-In|1
V. Salem Lakes|Wards 11-13|11-13|REP Representative to the Assembly District 32|Amanda Nedweski|216
V. Salem Lakes|Wards 11-13|11-13|REP Representative to the Assembly District 32|Write-In|1
V. Salem Lakes|Wards 11-13|11-13|REP District Attorney|Xavier Solis|196
V. Salem Lakes|Wards 11-13|11-13|REP District Attorney|Write-In|2
V. Salem Lakes|Wards 11-13|11-13|REP County Clerk|Write-In|15
V. Salem Lakes|Wards 11-13|11-13|REP County Treasurer|Write-In|14
V. Salem Lakes|Wards 11-13|11-13|REP Register of Deeds|Write-In|12
V. Salem Lakes|Wards 11-13|11-13|CON United States Senator|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|CON Representative in Congress|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|CON Representative to the Assembly District 32|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|CON District Attorney|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|CON County Clerk|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|CON County Treasurer|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|CON Register of Deeds|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|LIB United States Senator|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|LIB Representative in Congress|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|LIB Representative to the Assembly District 32|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|LIB District Attorney|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|LIB County Clerk|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|LIB County Treasurer|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|LIB Register of Deeds|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|GRN United States Senator|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|GRN Representative in Congress|Chester Todd, Jr.|0
V. Salem Lakes|Wards 11-13|11-13|GRN Representative in Congress|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|GRN Representative to the Assembly District 32|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|GRN District Attorney|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|GRN County Clerk|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|GRN County Treasurer|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|GRN Register of Deeds|Write-In|0
V. Salem Lakes|Wards 11-13|11-13|State Referendum - Question 1|Yes|221
V. Salem Lakes|Wards 11-13|11-13|State Referendum - Question 1|No|193
V. Salem Lakes|Wards 11-13|11-13|State Referendum - Question 2|Yes|219
V. Salem Lakes|Wards 11-13|11-13|State Referendum - Question 2|No|196
V. Somers|Wards 1-4|1-4|Party Preference Section|Democratic|268
V. Somers|Wards 1-4|1-4|Party Preference Section|Republican|238
V. Somers|Wards 1-4|1-4|Party Preference Section|Libertarian|1
V. Somers|Wards 1-4|1-4|Party Preference Section|Wisconsin Green|0
V. Somers|Wards 1-4|1-4|Party Preference Section|Constitution|0
V. Somers|Wards 1-4|1-4|DEM United States Senator|Tammy Baldwin|258
V. Somers|Wards 1-4|1-4|DEM United States Senator|Write-In|0
V. Somers|Wards 1-4|1-4|DEM Representative in Congress|Peter Barca|248
V. Somers|Wards 1-4|1-4|DEM Representative in Congress|Write-In|0
V. Somers|Wards 1-4|1-4|DEM State Senator District 22|Robert W. Wirch|251
V. Somers|Wards 1-4|1-4|DEM State Senator District 22|Write-In|0
V. Somers|Wards 1-4|1-4|DEM Representative to the Assembly District 64|Tip McGuire|245
V. Somers|Wards 1-4|1-4|DEM Representative to the Assembly District 64|Write-In|1
V. Somers|Wards 1-4|1-4|DEM District Attorney|Carli McNeill|241
V. Somers|Wards 1-4|1-4|DEM District Attorney|Write-In|0
V. Somers|Wards 1-4|1-4|DEM County Clerk|Regi Waligora|239
V. Somers|Wards 1-4|1-4|DEM County Clerk|Write-In|0
V. Somers|Wards 1-4|1-4|DEM County Treasurer|Teri Jacobson|247
V. Somers|Wards 1-4|1-4|DEM County Treasurer|Write-In|0
V. Somers|Wards 1-4|1-4|DEM Register of Deeds|Jennifer Mack|237
V. Somers|Wards 1-4|1-4|DEM Register of Deeds|Write-In|0
V. Somers|Wards 1-4|1-4|REP United States Senator|Eric Hovde|240
V. Somers|Wards 1-4|1-4|REP United States Senator|Charles E. Barman|17
V. Somers|Wards 1-4|1-4|REP United States Senator|Rejani Raveendran|13
V. Somers|Wards 1-4|1-4|REP United States Senator|Write-In|1
V. Somers|Wards 1-4|1-4|REP Representative in Congress|Bryan Steil|239
V. Somers|Wards 1-4|1-4|REP Representative in Congress|Write-In|4
V. Somers|Wards 1-4|1-4|REP State Senator District 22|Write-In|7
V. Somers|Wards 1-4|1-4|REP Representative to the Assembly District 64|Ed Hibsch|214
V. Somers|Wards 1-4|1-4|REP Representative to the Assembly District 64|Write-In|0
V. Somers|Wards 1-4|1-4|REP District Attorney|Xavier Solis|199
V. Somers|Wards 1-4|1-4|REP District Attorney|Write-In|1
V. Somers|Wards 1-4|1-4|REP County Clerk|Write-In|3
V. Somers|Wards 1-4|1-4|REP County Treasurer|Write-In|3
V. Somers|Wards 1-4|1-4|REP Register of Deeds|Write-In|5
V. Somers|Wards 1-4|1-4|CON United States Senator|Write-In|0
V. Somers|Wards 1-4|1-4|CON Representative in Congress|Write-In|0
V. Somers|Wards 1-4|1-4|CON State Senator District 22|Write-In|0
V. Somers|Wards 1-4|1-4|CON Representative to the Assembly District 64|Write-In|0
V. Somers|Wards 1-4|1-4|CON District Attorney|Write-In|0
V. Somers|Wards 1-4|1-4|CON County Clerk|Write-In|0
V. Somers|Wards 1-4|1-4|CON County Treasurer|Write-In|0
V. Somers|Wards 1-4|1-4|CON Register of Deeds|Write-In|0
V. Somers|Wards 1-4|1-4|LIB United States Senator|Write-In|0
V. Somers|Wards 1-4|1-4|LIB Representative in Congress|Write-In|0
V. Somers|Wards 1-4|1-4|LIB State Senator District 22|Write-In|0
V. Somers|Wards 1-4|1-4|LIB Representative to the Assembly District 64|Write-In|0
V. Somers|Wards 1-4|1-4|LIB District Attorney|Write-In|0
V. Somers|Wards 1-4|1-4|LIB County Clerk|Write-In|0
V. Somers|Wards 1-4|1-4|LIB County Treasurer|Write-In|0
V. Somers|Wards 1-4|1-4|LIB Register of Deeds|Write-In|0
V. Somers|Wards 1-4|1-4|GRN United States Senator|Write-In|0
V. Somers|Wards 1-4|1-4|GRN Representative in Congress|Chester Todd, Jr.|0
V. Somers|Wards 1-4|1-4|GRN Representative in Congress|Write-In|0
V. Somers|Wards 1-4|1-4|GRN State Senator District 22|Write-In|0
V. Somers|Wards 1-4|1-4|GRN Representative to the Assembly District 64|Write-In|0
V. Somers|Wards 1-4|1-4|GRN District Attorney|Write-In|0
V. Somers|Wards 1-4|1-4|GRN County Clerk|Write-In|0
V. Somers|Wards 1-4|1-4|GRN County Treasurer|Write-In|0
V. Somers|Wards 1-4|1-4|GRN Register of Deeds|Write-In|0
V. Somers|Wards 1-4|1-4|State Referendum - Question 1|No|290
V. Somers|Wards 1-4|1-4|State Referendum - Question 1|Yes|250
V. Somers|Wards 1-4|1-4|State Referendum - Question 2|No|298
V. Somers|Wards 1-4|1-4|State Referendum - Question 2|Yes|246
V. Somers|Wards 5,6,9,10|5,6,9,10|Party Preference Section|Democratic|263
V. Somers|Wards 5,6,9,10|5,6,9,10|Party Preference Section|Republican|228
V. Somers|Wards 5,6,9,10|5,6,9,10|Party Preference Section|Constitution|0
